time,EURUSD,GBPUSD,EURAUD
2018-01-31 10:00:00+00:00,1.245645,1.421995,1.53849
2018-01-31 16:00:00+00:00,1.241375,1.419325,1.54092
2018-01-31 22:00:00+00:00,1.242465,1.41987,1.543135
2018-02-01 04:00:00+00:00,1.24463,1.424885,1.55267
2018-02-01 10:00:00+00:00,1.246965,1.423725,1.5538
2018-02-01 16:00:00+00:00,1.25079,1.42669,1.55575
2018-02-01 22:00:00+00:00,1.25001,1.427095,1.56059
2018-02-02 04:00:00+00:00,1.24867,1.42161,1.56275
2018-02-02 10:00:00+00:00,1.243545,1.412275,1.565855
2018-02-02 16:00:00+00:00,1.24566,1.41198,1.57256
2018-02-04 22:00:00+00:00,1.24549,1.4114,1.57124
2018-02-05 04:00:00+00:00,1.24608,1.411595,1.56784
2018-02-05 10:00:00+00:00,1.24199,1.40165,1.564435
2018-02-05 16:00:00+00:00,1.23671,1.39596,1.56971
2018-02-05 22:00:00+00:00,1.236725,1.39587,1.574385
2018-02-06 04:00:00+00:00,1.240275,1.39932,1.575845
2018-02-06 10:00:00+00:00,1.234445,1.390785,1.56725
2018-02-06 16:00:00+00:00,1.2377,1.395235,1.5656
2018-02-06 22:00:00+00:00,1.23859,1.396265,1.571295
2018-02-07 04:00:00+00:00,1.235065,1.39227,1.570145
2018-02-07 10:00:00+00:00,1.22934,1.38839,1.565665
2018-02-07 16:00:00+00:00,1.2263,1.38832,1.567875
2018-02-07 22:00:00+00:00,1.227515,1.388755,1.570785
2018-02-08 04:00:00+00:00,1.223115,1.38609,1.56552
2018-02-08 10:00:00+00:00,1.22598,1.400445,1.57252
2018-02-08 16:00:00+00:00,1.2247,1.39114,1.5739
2018-02-08 22:00:00+00:00,1.225705,1.39359,1.57496
2018-02-09 04:00:00+00:00,1.226485,1.391895,1.572995
2018-02-09 10:00:00+00:00,1.22486,1.380525,1.57005
2018-02-09 16:00:00+00:00,1.22512,1.38268,1.56833
2018-02-11 22:00:00+00:00,1.2287,1.38603,1.56831
2018-02-12 04:00:00+00:00,1.22639,1.384455,1.568065
2018-02-12 10:00:00+00:00,1.22772,1.38088,1.56888
2018-02-12 16:00:00+00:00,1.229115,1.383635,1.563395
2018-02-12 22:00:00+00:00,1.229195,1.38419,1.562045
2018-02-13 04:00:00+00:00,1.231365,1.388445,1.566345
2018-02-13 10:00:00+00:00,1.23583,1.38817,1.57237
2018-02-13 16:00:00+00:00,1.23521,1.389445,1.571785
2018-02-13 22:00:00+00:00,1.238985,1.39188,1.570735
2018-02-14 04:00:00+00:00,1.23527,1.387085,1.57134
2018-02-14 10:00:00+00:00,1.240295,1.39594,1.574275
2018-02-14 16:00:00+00:00,1.24505,1.39978,1.57094
2018-02-14 22:00:00+00:00,1.245935,1.401445,1.570505
2018-02-15 04:00:00+00:00,1.248705,1.40606,1.570035
2018-02-15 10:00:00+00:00,1.247755,1.40559,1.580295
2018-02-15 16:00:00+00:00,1.25066,1.40988,1.57401
2018-02-15 22:00:00+00:00,1.25392,1.411885,1.57551
2018-02-16 04:00:00+00:00,1.25275,1.40975,1.56989
2018-02-16 10:00:00+00:00,1.244785,1.403945,1.570825
2018-02-16 16:00:00+00:00,1.24097,1.40321,1.56888
2018-02-18 22:00:00+00:00,1.242105,1.40397,1.567265
2018-02-19 04:00:00+00:00,1.241065,1.40162,1.566135
2018-02-19 10:00:00+00:00,1.239735,1.39939,1.56757
2018-02-19 16:00:00+00:00,1.24074,1.4002,1.568035
2018-02-19 22:00:00+00:00,1.23859,1.397325,1.566425
2018-02-20 04:00:00+00:00,1.23436,1.40048,1.56412
2018-02-20 10:00:00+00:00,1.23405,1.400465,1.562255
2018-02-20 16:00:00+00:00,1.233715,1.39963,1.564945
2018-02-20 22:00:00+00:00,1.233035,1.398885,1.569025
2018-02-21 04:00:00+00:00,1.233365,1.396985,1.57037
2018-02-21 10:00:00+00:00,1.23194,1.397865,1.57045
2018-02-21 16:00:00+00:00,1.22854,1.39198,1.57406
2018-02-21 22:00:00+00:00,1.22774,1.39104,1.574245
2018-02-22 04:00:00+00:00,1.229385,1.388795,1.572115
2018-02-22 10:00:00+00:00,1.232175,1.39443,1.569335
2018-02-22 16:00:00+00:00,1.233145,1.39574,1.571675
2018-02-22 22:00:00+00:00,1.23069,1.394765,1.57199
2018-02-23 04:00:00+00:00,1.230785,1.39682,1.573685
2018-02-23 10:00:00+00:00,1.23001,1.397315,1.57227
2018-02-23 16:00:00+00:00,1.22957,1.39707,1.56817
2018-02-25 22:00:00+00:00,1.231025,1.399725,1.56599
2018-02-26 04:00:00+00:00,1.234275,1.40611,1.567665
2018-02-26 10:00:00+00:00,1.22896,1.39413,1.567455
2018-02-26 16:00:00+00:00,1.231765,1.396565,1.56823
2018-02-26 22:00:00+00:00,1.23242,1.395665,1.571625
2018-02-27 04:00:00+00:00,1.233145,1.395355,1.572855
2018-02-27 10:00:00+00:00,1.22389,1.38817,1.567255
2018-02-27 16:00:00+00:00,1.22333,1.390825,1.57044
2018-02-27 22:00:00+00:00,1.222365,1.390115,1.569325
2018-02-28 04:00:00+00:00,1.222,1.389145,1.56482
2018-02-28 10:00:00+00:00,1.21962,1.378115,1.5654
2018-02-28 16:00:00+00:00,1.219455,1.37603,1.57108
2018-02-28 22:00:00+00:00,1.219595,1.375765,1.577245
2018-03-01 04:00:00+00:00,1.21818,1.374045,1.57894
2018-03-01 10:00:00+00:00,1.217655,1.37207,1.572075
2018-03-01 16:00:00+00:00,1.22666,1.377755,1.581775
2018-03-01 22:00:00+00:00,1.228025,1.37851,1.583715
2018-03-02 04:00:00+00:00,1.22759,1.377335,1.58381
2018-03-02 10:00:00+00:00,1.230945,1.376885,1.589655
2018-03-02 16:00:00+00:00,1.23183,1.38031,1.58681
2018-03-04 22:00:00+00:00,1.2327,1.3794,1.590435
2018-03-05 04:00:00+00:00,1.232235,1.381705,1.59023
2018-03-05 10:00:00+00:00,1.232755,1.38477,1.59099
2018-03-05 16:00:00+00:00,1.233585,1.384955,1.588455
2018-03-05 22:00:00+00:00,1.234955,1.384435,1.587545
2018-03-06 04:00:00+00:00,1.234415,1.384895,1.59023
2018-03-06 10:00:00+00:00,1.2398,1.38827,1.58667
2018-03-06 16:00:00+00:00,1.240505,1.38902,1.58442
2018-03-06 22:00:00+00:00,1.24193,1.38926,1.59143
2018-03-07 04:00:00+00:00,1.242355,1.386565,1.59181
2018-03-07 10:00:00+00:00,1.24029,1.38951,1.588265
2018-03-07 16:00:00+00:00,1.241145,1.39007,1.58626
2018-03-07 22:00:00+00:00,1.24071,1.39066,1.58416
2018-03-08 04:00:00+00:00,1.238295,1.386285,1.587895
2018-03-08 10:00:00+00:00,1.232765,1.382865,1.5846
2018-03-08 16:00:00+00:00,1.231215,1.380965,1.58128
2018-03-08 22:00:00+00:00,1.23103,1.380535,1.58201
2018-03-09 04:00:00+00:00,1.230205,1.381145,1.577575
2018-03-09 10:00:00+00:00,1.231905,1.3868,1.572085
2018-03-09 16:00:00+00:00,1.23059,1.38478,1.56805
2018-03-11 21:00:00+00:00,1.23217,1.385945,1.56679
2018-03-12 03:00:00+00:00,1.233425,1.38771,1.568035
2018-03-12 09:00:00+00:00,1.23207,1.389525,1.56505
2018-03-12 15:00:00+00:00,1.23347,1.390515,1.566855
2018-03-12 21:00:00+00:00,1.233425,1.39006,1.56572
2018-03-13 03:00:00+00:00,1.23341,1.389105,1.56752
2018-03-13 09:00:00+00:00,1.237465,1.396795,1.570695
2018-03-13 15:00:00+00:00,1.239035,1.396295,1.57638
2018-03-13 21:00:00+00:00,1.2409,1.39926,1.57593
2018-03-14 03:00:00+00:00,1.237515,1.39539,1.56883
2018-03-14 09:00:00+00:00,1.23636,1.39617,1.56802
2018-03-14 15:00:00+00:00,1.23678,1.396235,1.57002
2018-03-14 21:00:00+00:00,1.237935,1.39766,1.570335
2018-03-15 03:00:00+00:00,1.236505,1.396255,1.571835
2018-03-15 09:00:00+00:00,1.2344,1.39817,1.576535
2018-03-15 15:00:00+00:00,1.230475,1.393775,1.577935
2018-03-15 21:00:00+00:00,1.230575,1.39255,1.58007
2018-03-16 03:00:00+00:00,1.23183,1.39687,1.580815
2018-03-16 09:00:00+00:00,1.226185,1.38955,1.587035
2018-03-16 15:00:00+00:00,1.22895,1.39465,1.59326
2018-03-18 21:00:00+00:00,1.22706,1.392945,1.592525
2018-03-19 03:00:00+00:00,1.22798,1.394635,1.595165
2018-03-19 09:00:00+00:00,1.232375,1.40421,1.600005
2018-03-19 15:00:00+00:00,1.233535,1.402375,1.598145
2018-03-19 21:00:00+00:00,1.23457,1.40364,1.60195
2018-03-20 03:00:00+00:00,1.234645,1.40649,1.601695
2018-03-20 09:00:00+00:00,1.22725,1.40106,1.595625
2018-03-20 15:00:00+00:00,1.224115,1.399725,1.593265
2018-03-20 21:00:00+00:00,1.225715,1.40068,1.59379
2018-03-21 03:00:00+00:00,1.228015,1.403195,1.59742
2018-03-21 09:00:00+00:00,1.228765,1.407405,1.59521
2018-03-21 15:00:00+00:00,1.233755,1.414035,1.588845
2018-03-21 21:00:00+00:00,1.2359,1.416065,1.59593
2018-03-22 03:00:00+00:00,1.235655,1.41676,1.59313
2018-03-22 09:00:00+00:00,1.23087,1.41023,1.596025
2018-03-22 15:00:00+00:00,1.23013,1.409565,1.599115
2018-03-22 21:00:00+00:00,1.233315,1.411275,1.597505
2018-03-23 03:00:00+00:00,1.23362,1.41047,1.59775
2018-03-23 09:00:00+00:00,1.233755,1.416215,1.595035
2018-03-23 15:00:00+00:00,1.23524,1.41343,1.60496
2018-03-25 21:00:00+00:00,1.23754,1.41629,1.601805
2018-03-26 03:00:00+00:00,1.239205,1.419615,1.60179
2018-03-26 09:00:00+00:00,1.244185,1.42231,1.61293
2018-03-26 15:00:00+00:00,1.24451,1.423045,1.60629
2018-03-26 21:00:00+00:00,1.244675,1.422875,1.609085
2018-03-27 03:00:00+00:00,1.242965,1.414855,1.610145
2018-03-27 09:00:00+00:00,1.23933,1.41428,1.60779
2018-03-27 15:00:00+00:00,1.240275,1.41568,1.6151
2018-03-27 21:00:00+00:00,1.241775,1.418665,1.61372
2018-03-28 03:00:00+00:00,1.239725,1.416075,1.618365
2018-03-28 09:00:00+00:00,1.235155,1.409865,1.610755
2018-03-28 15:00:00+00:00,1.23079,1.407555,1.606245
2018-03-28 21:00:00+00:00,1.23232,1.407595,1.60948
